,unique_id,children_0-2,children_2-5,children_5-18,adults_18-45,adults_45-60,adults_60-65,adults_65-70,adults_70+,no_people,household_type,quarter,rice,bread,buns_biscuits,pasta,cakes_puddings,pastry,other_bread_cereal,beef,pork,lamb,poultry,sausages,bacon_ham,offal_pate,processed_meat,meat,fish,seafood,preserved_seafood,processed_fish,whole_milk,low_milk,preserved_milk,yoghurt,cheese,other_milk,eggs,butter,margarine,peanut_butter,olive_oil,oils,animal_fats,citrus_fruit,bananas,apples,pears,stone_fruits,berries,fruits,dried_fruit_nuts,preserved_fruit,fresh_veg,cabbage,veg,root_veg,dried_veg,preserved_veg,potatoes,tuber_veg,sugar,jam,chocolate,confectionary,ice_cream,sugar_prod,sauces,condiments,misc,other_food,case_no,OECD_disposable_income,region,total_income,OECD_scale,gross_income,weekly_disposable_income,income_source,adult_food_cost,child_food_cost,total_food_cost,adult_total_expenditure,child_total_expenditure,total_expenditure,eng_rural_urb,scot_rural_urb,quarterly_weight,year
0,20834,0,0,0,2,1,1,0,0,4,Index,July to September,0.0,9.71,8.735,0.1,1.6,3.015,4.065,11.205,0.0,0.0,4.66,1.25,3.195,0.0,20.915,0.0,0.0,0.0,0.0,2.265,0.0,4.255,0.0,4.445,3.645,1.7,1.0,0.0,1.69,0.0,0.0,0.545,0.0,2.06,0.875,3.4,0.925,0.0,3.135,0.0,1.75,1.25,1.725,1.015,2.53,5.87,0.395,1.74,2.195,1.585,1.0,0.295,0.0,1.27,0.68,0.0,1.84,0.295,8.27,0.0,1,330.088,Scotland,951.6,2.5,762.96,825.22,Wages salaries,176.65,0.0,176.65,597.1479762540496,0.0,597.1479762540496,,Rural,17.486506774837842,2019
1,20835,0,0,0,2,0,2,0,0,4,Index,April to June,0.0,6.395,8.23,0.84,1.42,2.235,2.65,0.0,0.0,0.0,0.0,0.745,0.975,0.0,1.6,0.0,0.0,0.0,0.0,6.07,0.0,9.23,0.0,2.75,4.375,1.705,1.135,2.14,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.355,0.0,6.145,1.11,8.455,1.6,0.0,9.46,0.9,1.5,0.0,2.225,0.0,8.845,0.0,2,357.336,North West & Merseyside,1259.37,2.5,1259.37,893.34,Wages salaries,132.67,0.0,132.67,1517.079288162936,0.0,1517.079288162936,Urban,,8.39617370250587,2019
2,20836,0,0,0,0,1,0,0,0,1,Index,April to June,0.0,0.9,0.0,0.0,0.0,0.0,0.0,6.54,0.0,0.0,0.0,0.0,3.395,0.0,1.825,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.7,0.0,0.0,1.275,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.495,0.0,2.45,1.6,0.0,2.14,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,194.25,West Midlands,214.6761298076923,1.0,205.79,194.25,Annuities pensions,48.965,0.0,48.965,1235.8659380750264,0.0,1235.8659380750264,Urban,,19.1648065825607,2019
3,20837,0,0,0,0,0,0,0,2,2,Index,January to March,0.0,2.71,0.75,0.0,1.85,0.0,3.995,2.75,0.0,0.0,1.175,0.0,0.95,0.0,6.645,0.0,7.96,0.0,0.0,1.0,0.0,4.4,0.0,0.0,0.0,4.62,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.77,0.5,0.5,0.0,1.5,1.69,0.0,0.5,0.25,1.0,0.375,1.19,0.0,0.225,1.95,1.5,1.0,0.0,8.5,0.0,0.0,0.0,0.0,0.3,0.7,0.0,4,307.75189743589743,Yorkshire and the Humber,490.47784615384614,1.5,490.47784615384614,461.6278461538462,Social sec. benefits,89.485,0.0,89.485,304.0848919771004,0.0,304.0848919771004,Urban,,24.56548950471679,2020
4,20838,0,0,0,0,0,0,0,1,1,Index,July to September,0.0,1.825,0.29,0.0,0.645,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.5,0.0,1.245,0.0,0.0,0.0,0.0,0.895,0.0,2.125,0.0,0.0,0.0,0.55,0.45,1.375,0.0,0.0,0.0,0.695,0.9,0.0,0.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.345,0.0,0.0,0.67,1.0,1.295,0.0,0.0,0.795,0.5,0.995,0.0,3.98,2.135,0.0,0.0,5,320.80123076923076,Yorkshire and the Humber,345.27050961538464,1.0,339.9612307692308,320.80123076923076,Social sec. benefits,34.1,0.0,34.1,186.94337058807668,0.0,186.94337058807668,Urban,,34.284862292999655,2019
5,20839,0,0,0,0,0,0,0,2,2,Index,October to December,0.0,1.025,1.99,0.0,0.0,0.0,0.0,4.55,6.41,0.0,3.75,1.0,0.0,0.0,9.425,0.0,0.0,0.0,0.0,0.9,0.0,1.74,0.0,0.0,1.95,0.0,1.5,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.915,1.3,0.0,3.5,3.765,0.0,0.0,0.0,0.435,0.5,5.5,3.115,0.0,2.53,2.775,0.0,0.0,1.0,1.75,3.0,6.735,0.0,0.9,1.465,5.3,0.0,6,541.7308717948719,South West,905.2963076923077,1.5,905.2963076923077,812.5963076923077,Annuities pensions,103.07,0.0,103.07,597.675362120578,0.0,597.675362120578,Rural,,16.714300291103562,2019
6,20840,0,0,0,0,0,0,0,1,1,Pensioner,January to March,0.0,1.5,3.775,0.0,0.0,0.0,2.415,0.0,0.0,0.0,0.0,0.0,1.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185,0.0,0.8,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.825,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,7,200.21123076923075,West Midlands,227.44458274043038,1.0,200.21123076923075,200.21123076923075,Social sec. benefits,23.875,0.0,23.875,286.4970699199176,0.0,286.4970699199176,Urban,,57.0265622212324,2020
7,20841,0,0,0,0,0,0,0,1,1,Index,July to September,0.0,0.0,1.6,0.55,4.42,1.435,4.785,2.0,0.0,0.0,3.61,0.0,0.0,0.0,3.945,0.0,2.5,0.0,0.0,0.0,0.0,9.72,0.0,4.26,0.0,3.725,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,1.3,0.0,0.0,0.0,1.575,0.0,0.0,0.695,0.0,0.0,1.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0,2.41,2.94,6.73,0.0,8,284.75123076923074,Eastern,299.29123076923076,1.0,287.06123076923075,284.75123076923074,Social sec. benefits,80.49,0.0,80.49,284.10099400392846,0.0,284.10099400392846,Rural,,34.706355617368274,2019
8,20842,0,0,0,0,0,1,1,0,2,Index,July to September,0.575,4.69,3.485,0.0,2.495,0.475,1.5,0.0,0.0,0.0,0.0,0.0,1.425,0.0,13.2,0.0,0.0,1.545,0.0,0.0,0.0,0.655,0.0,0.0,2.25,0.0,0.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.475,0.0,0.0,0.0,0.75,0.0,0.0,0.775,0.0,1.25,0.0,4.31,0.0,0.0,1.7,3.045,0.79,0.0,2.5,1.575,0.0,0.0,9,742.5187692307692,Eastern,1236.6681538461537,1.5,1236.6681538461537,1113.7781538461538,Wages salaries,164.785,0.0,164.785,637.1080829915517,0.0,637.1080829915517,Urban,,11.617409812325128,2019
9,20843,0,0,0,1,0,0,1,1,3,Index,January to March,0.0,3.72,0.91,0.0,1.785,1.5,3.45,3.445,0.0,0.0,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,1.0,0.0,0.0,0.0,0.645,0.0,0.0,0.0,0.0,0.5,0.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,1.0,1.0,0.325,0.0,6.395,0.0,0.0,0.0,0.0,0.0,1.69,0.0,10,418.07007692307695,Northern Ireland,948.080153846154,2.0,909.080153846154,836.1401538461539,Social sec. benefits,81.96,0.0,81.96,467.745,0.0,467.745,,,4.94772324873199,2020
