,region,% underweight,% normal,% overweight,% obese,% morbidly obese,% overweight (25+),% obese (30+),year,age_group
0,North East,2.5825315,31.197943,32.244137,29.483562,4.491828,66.21953,33.97539,2019,16+
1,North West and Merseyside,0.5607192,30.982224,38.279053,26.739931,3.4380744,68.457054,30.178005,2019,16+
2,Yorkshire and the Humber,0.7472055,35.800674,34.390793,24.56245,4.4988785,63.45212,29.061329,2019,16+
3,East Midlands,2.3357725,32.92297,33.95813,26.669912,4.113216,64.74126,30.783129,2019,16+
4,West Midlands,2.6577122,28.137455,35.628075,29.294754,4.282002,69.204834,33.576756,2019,16+
5,Eastern,1.3086112,35.41282,37.54746,22.697529,3.0335839,63.278572,25.731112,2019,16+
6,London,2.8579097,37.22865,36.47197,21.314987,2.1264827,59.91344,23.441471,2019,16+
7,South East,1.725926,38.382877,36.133995,20.73367,3.0235317,59.891193,23.757202,2019,16+
8,South West,1.5752101,29.76165,38.60615,26.602253,3.454734,68.66314,30.056988,2019,16+
9,England,1.7684871,33.991184,36.218113,28.022217,3.3143287,67.55466,31.336544,2019,16+
10,England,,,14.0,,,30.0,16.0,2019,2to15
11,North East,1.1182607,29.909727,35.07276,29.228308,4.6709456,68.972015,33.899254,2018,16+
12,North West and Merseyside,2.6050737,34.9023,35.303497,24.07933,3.109795,62.492622,27.189125,2018,16+
13,Yorkshire and the Humber,0.8847229,30.777685,35.089622,29.7216,3.5263677,68.33759,33.247967,2018,16+
14,East Midlands,1.1751646,37.869205,35.456707,23.190125,2.3088007,60.95563,25.498926,2018,16+
15,West Midlands,2.0503016,29.152836,33.589542,29.545942,5.6613765,68.79686,35.207317,2018,16+
16,Eastern,1.3486888,33.40331,38.29193,24.607946,2.3481233,65.248,26.95607,2018,16+
17,London,2.241557,39.561897,34.28038,20.706484,3.209679,58.196545,23.916162,2018,16+
18,South East,1.4242824,38.13191,37.88291,20.633017,1.9278792,60.443806,22.560896,2018,16+
19,South West,2.1188977,33.99783,36.52191,24.449558,2.9118042,63.883274,27.361362,2018,16+
20,England,1.6745163,35.05607,35.548534,27.72088,3.158,66.427414,30.878881,2018,16+
21,England,,,13.0,,,28.0,15.0,2018,2to15
22,North East,2.3287334,31.858065,36.56061,25.749516,3.5030744,65.8132,29.25259,2017,16+
23,North West and Merseyside,1.9357556,34.795963,35.64463,24.348927,3.2747238,63.26828,27.62365,2017,16+
24,Yorkshire and the Humber,0.71042943,29.177801,38.14854,28.515766,3.4474602,70.11177,31.963226,2017,16+
25,East Midlands,0.67130613,34.503407,35.62895,25.47326,3.723078,64.82529,29.196339,2017,16+
26,West Midlands,1.9568198,28.04198,36.60319,29.125923,4.272084,70.0012,33.398006,2017,16+
